order_id,product_id,seller_id,price
00010242fe,4244733e06,48436dade1,58
00018f77f2,e5f2d52b80,dd7ddc04e1,239
000229ec39,c777355d18,5b51032edd,199
00024acbcd,7634da152a,9d7a1d34a5,12
00042b26cf,ac6c362306,df560393f3,199
00048cc3ae,ef92defde8,6426d21aca,21
00054e8431,8d4f2bb7e9,7040e82f89,19
000576fe39,557d850972,5996cddab8,810
0005a1a172,310ae3c140,a416b6a846,145
0005f50442,4535b0e109,ba143b05f0,53
00061f2a7b,d63c1011f4,cc419e0650,59
00063b381e,f177554ea9,8602a61d68,45
0006ec9db0,99a4788cb2,4a3ca9315b,74
0008288aa4,368c6c7308,1f50f92017,49
0008288aa4,368c6c7308,1f50f92017,49
0009792311,8cab8abac5,530ec6109d,99
0009c9a17f,3f27ac8e69,fcb5ace8bc,639
000aed2e25,4fa3391503,fe2032dab1,144
000c3e6612,b50c950aba,218d46b86c,99
000e562887,5ed9eaf534,8cbac7e126,25
000e63d38a,553e0e7590,1c129092bf,47
000e906b78,57d79905de,ea8482cd71,21
000f25f4d7,1c05e09643,7c67e1448b,119
001021efaa,5d7c23067e,6560211a19,49
0010b2e520,5a419dbf24,3504c0cb71,48
00119ff934,21b1c2f67a,c864036fea,219
0011d82c4b,c389f712c4,bfd27a966d,289
00125cb692,1c0c0093a4,41b39e28db,109
00130c0eee,89321f94e3,16090f2ca8,27
0013503b13,38afdf723b,1554a68530,119
00137e1709,672e757f33,e59aa562b9,397
001427c0ec,28b4eced95,77530e9772,59
00143d0f86,e95ee6822b,a17f621c59,21
00143d0f86,e95ee6822b,a17f621c59,21
00143d0f86,e95ee6822b,a17f621c59,21
0014ae671d,23365beed3,92eb0f42c2,16
0015ebb40f,50fd2b788d,8b321bb669,21
00169e31ef,b10eba910a,a3e9a2c700,39
0016dfedd9,4089861a1b,a35124e2d7,49
0017afd507,fe59a1e006,25c5c91f63,809
001862358b,c6dd917a0b,7a67c85e85,99
0019c29108,28b4eced95,77530e9772,59
001ab0a757,0b0172eb0f,5656537e58,24
001ab0a757,0b0172eb0f,5656537e58,24
001ab0a757,0b0172eb0f,5656537e58,24
001ac194d4,dbaee28f4e,ffc470761d,54
001b76dd48,dbb67791e4,9c0e69c7bf,81
001c85b5f6,84f4569583,4a3ca9315b,99
001d8f0e34,e67307ff0f,f4aba7c0bc,18
001d8f0e34,e67307ff0f,f4aba7c0bc,18
001daeb0ed,30c01cc81c,f45122a9ab,38
001dbc16dc,777d2e438a,4a3ca9315b,69
001e7ba991,884fa3cd42,3340ef1913,195
001e7cf2ad,bdcf6a834e,2a84855fd2,35
0020262c8a,a5341e3f81,ff063b022a,79
0020a222f5,e19ddcc855,8a32e327fe,29
002175704e,e6b6e13cf7,b2ba3715d7,109
00229e4e43,13fcfc313d,c3cfdc6481,74
0025081dcf,4e3f399366,5f3ae9136c,14
00254baeb6,1890187878,e8b4225284,149
00259a44fc,0c4d0a08f9,9f505651f4,19
0025c5d1a8,35537536ed,955fee9216,390
002611a77f,fe077ec80d,87142160b4,135
002691433f,430d215740,0887a9f087,104
0026a36863,892832da5b,12b9676b00,149
00275bce67,6490b9f63b,99eaacc9e6,279
00276d5c34,71c89e9d8f,8f78f09030,44
002834535f,df3655ac9a,ea8482cd71,37
0028de0ca6,059344baeb,955fee9216,29
002955b0ac,d9bdf643d9,058fd0aa2b,120
0029c5db35,7614c62b86,900ba814c2,492
0029f17cf0,01c666c82f,d3dcf0604e,94
002af7fa9e,c2ece64199,6c7d50c24b,88
002b430ff8,cc47c08635,7a67c85e85,199
002b4e6fa4,a6f449f625,b1a8126056,99
002c9def9c,2d9ff06c88,00720abe85,78
002c9def9c,2d9ff06c88,00720abe85,78
002d040018,97c58626cc,fe2032dab1,155
002f16b7bc,d54c5b81fc,0241d4d5d3,249
002f19a65a,9eae06d51a,1835b56ce7,53
002f98c0f7,d41dc2f297,7299e27ed7,8
002f98c0f7,880be32f4d,fa40cc5b93,44
0030d783f9,ae27a5524e,8e6cc76747,60
0030ff924c,bd7cab8de4,855668e097,225
00310b0c75,c8e7c2ef32,a2deecd539,39
00324b3eda,54e5063e43,0dd184061f,76
0032d07457,08279c4940,e333046ce6,159
003324c70b,2b939dc9b1,dbc2212516,102
003324c70b,2b939dc9b1,dbc2212516,102
00335b686d,87b08e712c,f00e21b1e9,63
00335f75ea,e1bf2f209f,70c27847ec,168
00337fe25a,1f9799a175,cfb1a03374,59
00337fe25a,13944d17b2,cfb1a03374,59
003423b755,84904413b8,23c38debaf,232
00345f3386,0f2fd0a589,516e7738bd,48
0035246a40,8a6187b266,4a3ca9315b,87
0035c0b071,ec02a5d380,8444e55c1f,131
0035e6b7ad,71a5f1c2a5,537eb890ef,19
0036757472,4c1bbc1243,7c67e1448b,136
0036887767,3a264b078b,46dc3b2cc0,399
00378c6c98,38fa750a3a,218d46b86c,41
003822434f,99e71b776d,c54679b132,69
003822434f,99e71b776d,c54679b132,69
0039500db3,62984ea1bb,c3cfdc6481,169
003a7f59d7,a4d286543a,b410bdd36d,119
003a94f778,452f66a0f1,f80edd2c5a,39
003cc6161d,fadc89c2a6,53e4c6e0f4,85
003d063428,db886bd83f,8e6d7754bc,220
003d804eef,41402af2a8,4869f7a5df,277
003d9fc84a,3fbc0ef745,06a2c3af7b,66
003edccf16,500870614d,ef506c9632,14
003f201cdd,656e0eca68,0b90b6df58,85
003f201cdd,656e0eca68,0b90b6df58,85
003f9bcc09,4bc3ab2ff0,7e93a43ef3,229
00404fa7a6,53b36df67e,7d13fca152,99
0040a56893,3f14d74054,f457c46070,84
004157daaf,8b5632d7a4,624f4ece8d,189
00418a49a6,5e21d5cab5,6560211a19,49
004345d16a,d0fb1e667e,0be8ff43f2,37
0044c6f6d2,01cf56cd61,06e5eefc71,179
0045e3085f,9545d45c37,431af27f29,116
0045f5225a,86a11a09ed,3db66a856d,94
0046176ff0,19f0917ba5,43f8c9950d,121
0046e1d57f,ff6caf9340,38e6dada03,7
00471463a6,9df0e8a7ee,7c67e1448b,179
00482f2670,a9c404971d,702835e4b7,7
0049edf428,389d119b48,1f50f92017,49
004b62108b,c589625c8c,c70c1b0d8c,110
004ba47bb5,8c5876b1c7,0db783cfcd,49
004ca5ae24,cd71c76f5a,620c87c171,159
004d76fef3,28a652ff04,3d871de014,120
004eab0fd8,0c753fe6a5,7586919161,21
004f5d8f23,5a848e4ab5,c826c40d7b,122
004fb11815,68c923fddf,7a67c85e85,72
004fb5e6f9,601a360bd2,7a67c85e85,129
005059edee,84f4569583,4a3ca9315b,92
005059edee,84f4569583,4a3ca9315b,92
00526a9d4e,0c4a0f8ab4,7210cd2972,33
00526a9d4e,0c4a0f8ab4,7210cd2972,33
00526a9d4e,0c4a0f8ab4,7210cd2972,33
00526a9d4e,0c4a0f8ab4,7210cd2972,33
0055b77cca,d1c427060a,a1043bafd4,149
0057199db0,41eee23c25,e5a3438891,20
00571ded73,8695c431b3,fe2032dab1,179
00571ded73,8695c431b3,fe2032dab1,179
00584d7901,d9c01b484a,7202e2ba20,109
00588f5f20,bd6e8cf9fe,4e922959ae,89
005997dca4,2948658cb6,955fee9216,120
005a1dded3,7e6c4a0bf9,6560211a19,75
005b49de51,381169576b,8c16d1f32a,46
005cad6157,7e97894cc0,7008613ea4,96
005d9a5423,fb7a100ec8,d98eec89af,49
005d9a5423,4c3ae5db49,d98eec89af,24
005d9a5423,4c3ae5db49,d98eec89af,24
005e5166e9,03bb24d19e,e9bc59e7b6,120
005f25968f,f9259c9e7c,3db66a856d,69
00602f25bf,32a8448d16,86ccac0b83,39
0061182226,3d514fecad,23d7c96d4a,159
006127b8b9,f819f0c84a,7d13fca152,540
0064d74f7d,fa11ecd35f,2e90cb1677,189
006557c322,7d18780188,d91fb3b7d0,14
00664284de,205604b962,1b938a7ec6,43
0066a1fdae,2fb0efd1f6,1d8dbc4f32,139
0067c6030d,02ed3b5954,640e21a7d0,40
0068468c45,2f763ba79d,822bad9bc4,469
00685d31ae,71bdf1a4d1,6fc26fe110,59
0068c10994,525f8fbde0,8b321bb669,35
0068c10994,525f8fbde0,8b321bb669,35
0068e83690,735413ccfa,5b67882648,96
0068fb0e22,e53e557d5a,88460e8ebd,77
006c42f310,b20004b530,afa6714ace,229
006cb7cafc,e10758160d,323ce52b5b,56
006cba07f6,83d199d296,850f4f8af5,69
006dd93155,1ec4868850,cab8550571,49
006df90050,85d619318a,cea729054f,14
006e05e81c,02475368df,6560211a19,29
006e43460a,08574b0749,001cca7ae9,99
006e91ddb0,8474d936fe,2528513dd9,499
006f7dfffe,aacfae7cd4,729b2d09b2,39
0070092bb6,31a2f42a87,4c03b9dd4c,149
0071ee2429,00ffe57f01,53e4c6e0f4,179
0072847849,0f80705139,de23c3b98a,219
00750f68bb,526f833e1e,6560211a19,129
00756576f4,bfc0d01be7,634964b177,137
00772b2af3,85b8a24337,c3867b4666,37
00789ce015,f9d774a182,2709af9587,154
0078a358a1,722f844161,cca3071e3e,253
0079bca8e8,19421075ae,4c2b230173,49
007bbb40c9,0ec7b6a863,1e8b33f18b,148
007beb35f9,ce130b350f,e38db88540,64
007c7cb12e,15c30c08ae,7e93a43ef3,179
007ec946d4,779559842f,f8db351d8c,27
007ff0b0f7,e819fddd66,7139dc5186,39
0080eebb28,2083a6feb4,cc419e0650,7
0081ab2c99,e1c0a39b7f,96493fab2f,269
0081ce648a,1d417ca094,54965bbe3e,99
0084209c57,7340a3839a,4a3ca9315b,69
0084e195fb,a963ea4d49,bd0389da23,89
00858d0314,e40fa115d2,d91fb3b7d0,165
008720830a,22d65c4f3a,7a67c85e85,57
